Brass-1	Brass-2	Brass-3	Brass-4	Brass-5	Copper-1	Copper-2	Copper-3	Copper-4	Copper-5	Steel-1	Steel-2	Steel-3	Steel-4	Steel-5	Aluminum-1	Aluminum-2	Aluminum-3	Aluminum-4	Aluminum-5	
°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	
 2.706876e+001	 2.886343e+001	 3.436517e+001	 4.586154e+001	 6.975075e+001	 4.306159e+001	 4.397677e+001	 4.721835e+001	 5.309718e+001	 6.217678e+001	 2.177038e+001	 2.188591e+001	 2.235744e+001	 2.349566e+001	 5.242482e+001	 2.294231e+001	 2.300249e+001	 2.419860e+001	 2.702726e+001	 3.774017e+001	
 2.708783e+001	 2.885308e+001	 3.436551e+001	 4.589312e+001	 6.975397e+001	 4.306204e+001	 4.394061e+001	 4.718908e+001	 5.309153e+001	 6.218068e+001	 2.170016e+001	 2.187463e+001	 2.238274e+001	 2.352403e+001	 5.239837e+001	 2.298886e+001	 2.302690e+001	 2.422695e+001	 2.704064e+001	 3.776777e+001	
 2.709281e+001	 2.883974e+001	 3.434845e+001	 4.584880e+001	 6.970465e+001	 4.307084e+001	 4.392707e+001	 4.722741e+001	 5.310799e+001	 6.219594e+001	 2.171330e+001	 2.189197e+001	 2.235959e+001	 2.352742e+001	 5.245450e+001	 2.299931e+001	 2.300774e+001	 2.422287e+001	 2.702588e+001	 3.777134e+001	
 2.710989e+001	 2.889264e+001	 3.436786e+001	 4.588076e+001	 6.976161e+001	 4.307987e+001	 4.395126e+001	 4.723447e+001	 5.310192e+001	 6.220454e+001	 2.170732e+001	 2.187844e+001	 2.235340e+001	 2.349878e+001	 5.242399e+001	 2.298616e+001	 2.301320e+001	 2.421713e+001	 2.703119e+001	 3.776582e+001	
 2.708306e+001	 2.889892e+001	 3.437078e+001	 4.590835e+001	 6.981857e+001	 4.311819e+001	 4.403250e+001	 4.726508e+001	 5.312905e+001	 6.224829e+001	 2.171717e+001	 2.191711e+001	 2.239482e+001	 2.354296e+001	 5.240859e+001	 2.299185e+001	 2.303068e+001	 2.421662e+001	 2.699846e+001	 3.777366e+001	
 2.714200e+001	 2.890658e+001	 3.438551e+001	 4.586995e+001	 6.985539e+001	 4.311368e+001	 4.400186e+001	 4.718850e+001	 5.308287e+001	 6.227396e+001	 2.172853e+001	 2.190209e+001	 2.240929e+001	 2.353849e+001	 5.240760e+001	 2.299374e+001	 2.302540e+001	 2.420044e+001	 2.700477e+001	 3.781227e+001	
 2.716738e+001	 2.892817e+001	 3.436319e+001	 4.586576e+001	 6.991841e+001	 4.316270e+001	 4.403763e+001	 4.721405e+001	 5.306745e+001	 6.225985e+001	 2.173732e+001	 2.185133e+001	 2.234739e+001	 2.352132e+001	 5.240551e+001	 2.296220e+001	 2.302630e+001	 2.420771e+001	 2.700355e+001	 3.777430e+001	
 2.715197e+001	 2.893514e+001	 3.439254e+001	 4.587003e+001	 6.991622e+001	 4.317016e+001	 4.407703e+001	 4.725942e+001	 5.319308e+001	 6.230043e+001	 2.170453e+001	 2.187028e+001	 2.235476e+001	 2.350966e+001	 5.246416e+001	 2.297350e+001	 2.302667e+001	 2.421206e+001	 2.701898e+001	 3.774678e+001	
 2.716872e+001	 2.893279e+001	 3.433095e+001	 4.590811e+001	 6.989828e+001	 4.315844e+001	 4.403718e+001	 4.724534e+001	 5.317596e+001	 6.231495e+001	 2.171545e+001	 2.187817e+001	 2.235962e+001	 2.350778e+001	 5.243854e+001	 2.298442e+001	 2.301155e+001	 2.420068e+001	 2.700422e+001	 3.775021e+001	
 2.714507e+001	 2.892095e+001	 3.438201e+001	 4.591591e+001	 6.983602e+001	 4.315129e+001	 4.408689e+001	 4.729021e+001	 5.319952e+001	 6.234458e+001	 2.172126e+001	 2.190624e+001	 2.235039e+001	 2.351708e+001	 5.246472e+001	 2.299559e+001	 2.303378e+001	 2.421536e+001	 2.701849e+001	 3.776408e+001	
 2.714540e+001	 2.890613e+001	 3.439581e+001	 4.587269e+001	 6.985450e+001	 4.314592e+001	 4.406039e+001	 4.729605e+001	 5.324066e+001	 6.232349e+001	 2.173571e+001	 2.191645e+001	 2.235635e+001	 2.350390e+001	 5.247284e+001	 2.299727e+001	 2.301337e+001	 2.421383e+001	 2.703548e+001	 3.781670e+001	
 2.714060e+001	 2.892001e+001	 3.439188e+001	 4.593231e+001	 6.987852e+001	 4.315639e+001	 4.402819e+001	 4.721573e+001	 5.322002e+001	 6.236515e+001	 2.173155e+001	 2.189005e+001	 2.237103e+001	 2.352614e+001	 5.247284e+001	 2.299916e+001	 2.301214e+001	 2.417224e+001	 2.700263e+001	 3.778510e+001	
 2.712716e+001	 2.890300e+001	 3.437495e+001	 4.593008e+001	 6.982271e+001	 4.319639e+001	 4.407793e+001	 4.733346e+001	 5.327031e+001	 6.232094e+001	 2.171358e+001	 2.188022e+001	 2.233954e+001	 2.349535e+001	 5.244456e+001	 2.296503e+001	 2.299979e+001	 2.421144e+001	 2.697845e+001	 3.777874e+001	
 2.715988e+001	 2.892152e+001	 3.441210e+001	 4.597670e+001	 6.986780e+001	 4.322400e+001	 4.410886e+001	 4.734953e+001	 5.325114e+001	 6.240474e+001	 2.173797e+001	 2.188578e+001	 2.235606e+001	 2.348931e+001	 5.247718e+001	 2.299668e+001	 2.301332e+001	 2.419196e+001	 2.698175e+001	 3.777888e+001	
 2.716465e+001	 2.894406e+001	 3.444877e+001	 4.595896e+001	 6.985036e+001	 4.324831e+001	 4.412305e+001	 4.737100e+001	 5.332918e+001	 6.245775e+001	 2.173651e+001	 2.188763e+001	 2.233142e+001	 2.350149e+001	 5.245674e+001	 2.298239e+001	 2.299081e+001	 2.418730e+001	 2.698373e+001	 3.777293e+001	
